node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file,seeding
10,Q_values,50,55,4,0.595610662416991,0.43703349983430184,0.38013434410095215,xgboost_model_10.pkl,76
10,Circuit,50,5,4,0.7457136921146825,0.39545974243834237,0.23955512046813965,xgboost_model_10_Circuit.pkl,76
12,Q_values,50,78,4,0.9984017546893895,0.6733729470142417,0.35944366455078125,xgboost_model_12.pkl,76
12,Circuit,50,5,4,1.1057790689802833,0.6586832137207856,0.24217939376831055,xgboost_model_12_Circuit.pkl,76
15,Q_values,50,120,4,0.6145344757070607,0.19546520647969284,0.4479193687438965,xgboost_model_15.pkl,76
15,Circuit,50,5,4,0.7984018257313917,0.23100893304959497,0.23711538314819336,xgboost_model_15_Circuit.pkl,76
20,Q_values,50,210,4,0.647435677028291,0.27724724905596615,0.618854284286499,xgboost_model_20.pkl,76
20,Circuit,50,5,4,0.8517697982791925,0.32982073988226857,0.2418992519378662,xgboost_model_20_Circuit.pkl,76
25,Q_values,50,325,4,0.727076948797652,0.22071186347248029,0.6994543075561523,xgboost_model_25.pkl,76
25,Circuit,50,5,4,0.6900473477427472,0.18566757655959418,0.2383561134338379,xgboost_model_25_Circuit.pkl,76
full,Q_values,250,325,4,0.7280561048648645,0.31016264518897274,2.927443504333496,xgboost_model_full.pkl,76
full,Circuit,250,5,4,0.7625689994747524,0.30405453234663093,0.2999904155731201,xgboost_model_full_Circuit.pkl,76
10,Q_values_full_model,50,325,4,0.23808841699269212,0.024981274391820095,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,76
12,Q_values_full_model,50,325,4,0.32744325252878664,0.2658784357904039,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,76
15,Q_values_full_model,50,325,4,0.148970399043441,0.016870342890610575,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,76
20,Q_values_full_model,50,325,4,0.39106555902479845,0.08859929235218338,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,76
25,Q_values_full_model,50,325,4,0.20498932068429288,0.026293107811644498,0.0,Models/ml_vs_ml/xgboost/xgboost_model_full.pkl,76
